2019-09-19 10:02:17 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2019-09-19 10:02:19 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-09-19 10:02:19 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2019-09-19 10:02:20 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2019-09-19 10:02:20 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2019-09-19 10:02:20 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 27 ms
2019-09-19 10:02:20 [main] INFO  i.s.p.TaskControllerTest - Started TaskControllerTest in 9.402 seconds (JVM running for 11.652)
2019-09-19 10:06:25 [Thread-4] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-09-19 10:06:25 [Thread-4] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2019-09-19 10:06:25 [Thread-4] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2019-09-19 10:06:25 [Thread-4] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2019-09-19 10:06:37 [main] INFO  i.s.p.TaskControllerTest - Starting TaskControllerTest on LAPTOP-460LOMEB with PID 16932 (started by alokt in C:\FSE\Final Project\projectmanager\projectmanager)
2019-09-19 10:06:37 [main] INFO  i.s.p.TaskControllerTest - The following profiles are active: test
2019-09-19 10:06:38 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-09-19 10:06:38 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 144ms. Found 4 repository interfaces.
2019-09-19 10:06:40 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$9ff531f7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
