2019-09-08 16:39:29 [http-nio-8096-exec-2] INFO  i.s.p.controller.UserController - In User Controller - addUser
2019-09-08 16:39:29 [http-nio-8096-exec-5] INFO  i.s.p.controller.UserController - <-- Inside getAllUsers -->
2019-09-08 16:40:19 [http-nio-8096-exec-3] INFO  i.s.p.controller.UserController - In User Controller - addUser
2019-09-08 16:40:19 [http-nio-8096-exec-8] INFO  i.s.p.controller.UserController - <-- Inside getAllUsers -->
2019-09-08 16:40:24 [http-nio-8096-exec-9] INFO  i.s.p.controller.UserController - In User Controller - addUser
2019-09-08 16:40:24 [http-nio-8096-exec-6] INFO  i.s.p.controller.UserController - <-- Inside getAllUsers -->
2019-09-08 16:40:29 [http-nio-8096-exec-7] INFO  i.s.p.controller.UserController - In User Controller - addUser
2019-09-08 16:40:29 [http-nio-8096-exec-10] INFO  i.s.p.controller.UserController - <-- Inside getAllUsers -->
2019-09-08 16:40:36 [http-nio-8096-exec-1] INFO  i.s.p.controller.UserController - In User Controller - addUser
2019-09-08 16:40:36 [http-nio-8096-exec-4] INFO  i.s.p.controller.UserController - <-- Inside getAllUsers -->
2019-09-08 16:41:40 [Thread-140] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-09-08 16:41:40 [Thread-140] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2019-09-08 16:41:40 [Thread-140] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-25 - Shutdown initiated...
2019-09-08 16:41:40 [Thread-140] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-25 - Shutdown completed.
2019-09-08 16:41:41 [restartedMain] INFO  i.s.p.ProjectmanagerApplication - Starting ProjectmanagerApplication on LAPTOP-460LOMEB with PID 5684 (started by alokt in C:\FSE\Final Project\projectmanager\projectmanager)
2019-09-08 16:41:41 [restartedMain] INFO  i.s.p.ProjectmanagerApplication - No active profile set, falling back to default profiles: default
2019-09-08 16:41:41 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-09-08 16:41:41 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 31ms. Found 4 repository interfaces.
